term,frequency,document_frequency,in_lexicon,current_valence,n_tickers,n_sectors,example_headlines,window_start,window_end,n_headlines_in_window,is_stopword,review_eligible,exclusion_reason
progyny,3,3,False,,1,1,"TPG Group Holdings (SBS) Advisors, Inc. Buys Progyny Inc, Allogene Therapeutics Inc, Comcast ...",2020-01-01,2020-12-31,36955,False,True,
promotes,3,3,True,1.4,3,3,"Walmart India Promotes Sameer Aggarwal To CEO Of Best Price - Quick Facts || Dominion Energy Promotes Co-COO Robert Blue To President And CEO - Quick Facts || NBCUniversal shakes up top ranks, promotes new TV chief",2020-01-01,2020-12-31,36955,False,True,
promotion,3,3,True,0.034999999999999996,3,2,"Starbucks Korea cuts capacity, delays promotion after COVID-19 cluster || T-Mobile Tries An Unusual 5G Promotion",2020-01-01,2020-12-31,36955,False,True,
prompting,3,3,False,,3,1,"Shares of several semiconductor companies are trading lower as concerns about the Wuhan coronavirus continue to grow, prompting travel bans in multiple Chinese cities. Reports say the death toll rose to 80 with more than 2,700 people now infected.",2020-01-01,2020-12-31,36955,False,True,
prompts,3,3,False,,2,2,Wall Street ends lower as coronavirus surge prompts renewed restrictions || WALL ST WEEK AHEAD-Big tech nervousness prompts calls to diversify,2020-01-01,2020-12-31,36955,False,True,
pronounces,3,3,False,,3,1,"Texas Oil Regulator Pronounces OPEC-Style Production Quotas ""Dead""",2020-01-01,2020-12-31,36955,False,True,
propane,3,3,False,,3,2,Better Buy: GE vs. Suburban Propane Partners || Chevron ordered to inspect propane kettles at Gorgon LNG plant in Australia,2020-01-01,2020-12-31,36955,False,True,
propels,3,3,False,,3,3,"INSIGHT-Pandemic propels old-school bond traders towards an electronic future || ""Call of Duty"" propels Activision to raise full-year sales forecast || US STOCKS-Vaccine optimism propels Nasdaq to record high",2020-01-01,2020-12-31,36955,False,True,
pros',3,3,False,,3,3,"Pros' Picks: The 13 Best Dividend Stocks for 2020 || Benzinga Pros' Top 5 Stocks To Watch For Thurs., Feb. 20, 2020: MS, LB, DPZ, BBI, NCLH",2020-01-01,2020-12-31,36955,False,False,trailing hyphen or apostrophe; VADER token mismatch
prosiebensat,3,3,False,,1,1,Italy's Mediaset seeks German antitrust clearance for ProSiebenSat.1 stake || Mediaset increases stake in Germany's ProSiebenSat.1 further || Mediaset happy with current ProsiebenSat.1 stake - CFO,2020-01-01,2020-12-31,36955,False,True,
proven,3,3,False,,3,3,Adobe Stock Is a Buy Until Proven Otherwise || 3 Proven Stocks Robinhood Investors Are Buying Left and Right,2020-01-01,2020-12-31,36955,False,True,
prudent,3,3,True,0.020000000000000004,3,3,"Prudent Investors Network Buys PowerShares QQQ Trust Ser –, Invesco S&P 5…… High ... || 5 Low Leverage Stocks for Prudent Investors || Co-Diagnostics Could Be a Prudent Coronavirus Play",2020-01-01,2020-12-31,36955,False,True,
psoriatic,3,3,False,,1,1,"AbbVie Announces RINVOQ Met Primary And Key Secondary Endpoints In Phase 3 Study In Psoriatic Arthritis || AbbVie: RINVOQ Meets Endpoints In Phase 3 Study In Psoriatic Arthritis || AbbVie Reports Submission Of Regulatory Applications To FDA, EMA For RINVOQ For Treatment Of Adults With Active Psoriatic Arthritis",2020-01-01,2020-12-31,36955,False,True,
ptla,3,3,False,,3,1,"Health Care Sector Update for 01/10/2020: JNJ, PFE, ABT, MRK, AMGN, ACRS, MRNA, PTLA",2020-01-01,2020-12-31,36955,False,True,
publicly,3,3,False,,3,3,"Amazon Employees Publicly Condemn Company's Communications, Climate Policies || UPDATE: Icahn Calls Upon Hollub And Batchelder To Publicly And Clearly State Whether Or Not Occidental Was Approached As A Possible Acquisition Target || Jubilant Life Sciences Signs Non-Exclusive License Deal For Selling Gilead's Remdesivir In 127 Countries Including India; BZ NOTE: Jubilant Not Publicly Traded In US",2020-01-01,2020-12-31,36955,False,True,
publishers,3,3,False,,1,1,"2020 Outlook Good For Video Game Publishers, Analyst Especially Bullish On Ubisoft, EA || Why In-Game Revenue Is Key For Publishers Like Activision, Electronic Arts || Video Game Publishers Report Positive Earnings",2020-01-01,2020-12-31,36955,False,True,
puget,3,3,False,,1,1,Boeing Halts Puget Sound Manufacturing Following Coronavirus Death || Boeing Extends Suspension Of Puget Sound Production Operations Indefinitely || Boeing Looks to Move Dreamliner Production Away From Puget Sound,2020-01-01,2020-12-31,36955,False,True,
purifying,3,3,False,,1,1,"3M Says It Expects To Be Producing N95 Respirators At A Rate Of 50 Million Per Month In June, And It Is Partnering With Ford To Bolster Production Of Its Powered Air Purifying Respirators || 3M Partners With Cummins To Increase Production Of Filters For Powered Air Purifying Respirators || 3M, Cummins Partner To Produce Filters For Powered Air Purifying Respirators",2020-01-01,2020-12-31,36955,False,True,
pvh,3,3,False,,3,2,"Consumer Sector Update for 01/09/2020: GRUB,WMT,KR,CHS,PVH,BBBY || PVH Poaches Nike for New HR Chief || BUZZ-U.S. STOCKS ON THE MOVE-American Airlines, Palantir, PVH Corp",2020-01-01,2020-12-31,36955,False,True,
pwv,3,3,False,,3,2,"PWV, GE, CVS, UPS: Large Outflows Detected at ETF || The Math Shows PWV Can Go To $38",2020-01-01,2020-12-31,36955,False,True,
qsr,3,3,False,,2,2,"Consumer Sector Update for 01/07/2020: CLUB, QSR, YUMC, WMT, MCD, DIS, CVS, KO || Consumer Sector Update for 02/10/2020: TSLA, LB, QSR, WMT, MCD, DIS, CVS, KO || Pre-Market Earnings Report for August 6, 2020 : BMY, BDX, ZTS, MELI, AEP, BCE, BLL, PH, HLT, CNQ, ALNY, QSR",2020-01-01,2020-12-31,36955,False,True,
quadrant,3,3,False,,3,3,"First Quadrant L P Buys Vanguard REIT ETF, iShares iBoxx $ High Yield Corporate Bond ETF, ... || First Quadrant L P Buys UnitedHealth Group Inc, Eli Lilly and Co, Sanmina Corp, Sells Vanguard ... || Quadrant Private Wealth Management, LLC Buys PNC Financial Services Group Inc, Amazon. ...",2020-01-01,2020-12-31,36955,False,True,
quantitative,3,3,False,,3,3,"Quantitative Investment Management, LLC Buys iShares MSCI Emerging Index Fund, iShares Inc MSCI ... || Quantitative Investment Management, LLC Buys 'M Co, Tesla Inc, Apple Inc, Sells iShares Inc ... || Abbott Obtains CE Mark For COVID-19 IgG Quantitative Antibody Blood Test",2020-01-01,2020-12-31,36955,False,True,
quantum,3,3,False,,2,2,These 7 Quantum Computing Stocks Are Futuristic Buys || U.S. to spend $625 million in five quantum information research hubs || 4 Quantum Computing Stocks Fueling World-Disrupting Technology,2020-01-01,2020-12-31,36955,False,True,
queen,3,3,False,,2,2,"Queen Elizabeth's Speech, Markets Look To Recover, And Pharma Works For A Vaccine || BA to bid farewell to 'Queen of the Skies' with rare dual take off || BA's jumbos bid farewell with rare dual take off for 'Queen of the Skies'",2020-01-01,2020-12-31,36955,False,True,
quicken,3,3,True,0.03,2,2,"Quicken Loans Joins The Fight Against COVID-19 As Michigan Takes Center Stage || Quicken Loans Plans To IPO: Report || Quicken Loans Files for IPO, Will Change Name to Rocket Companies",2020-01-01,2020-12-31,36955,False,True,
quotas,3,3,False,,3,1,"Texas Oil Regulator Pronounces OPEC-Style Production Quotas ""Dead""",2020-01-01,2020-12-31,36955,False,True,
qurate,3,3,False,,3,3,"S&co Inc Buys Truist Financial Corp, The Walt Disney Co, Coca-Cola Co, Sells Qurate Retail ... || Permit Capital, LLC Buys ViacomCBS Inc, Qurate Retail Inc, Sells Viacom Inc, Goldman Sachs ... || Clifford Capital Partners Llc Buys Qurate Retail Inc, Sealed Air Corp, Perdoceo Education Corp, ...",2020-01-01,2020-12-31,36955,False,True,
railroad,3,3,False,,3,1,"BUZZ-U.S. STOCKS ON THE MOVE-CureVac, railroad operators, oil cos, Best Buy",2020-01-01,2020-12-31,36955,False,True,
rain,3,3,False,,3,2,Where's the 'Rain Check' for Missed Sports on TV?,2020-01-01,2020-12-31,36955,False,True,
ramp-up,3,3,False,,3,2,"Taiwan Semiconductor Seeing Ramp-up in Orders from AMD, Nvidia || World’s gold miners wary of production ramp-up despite price surge",2020-01-01,2020-12-31,36955,False,True,
ray,3,3,True,0.025,3,2,"UPDATE:Argus Reiterates Buy On NVIDIA, Raises Tgt To $300 Notes Co. Shined At CES As 'CES 2020 provided NVidia an opportunity to highlight rapid adoption of its ray tracing technology, which renders more realistic light and shadows in gaming applications' || Ray Dalio's Bridgewater Buys Buffett's Banks in 4th Quarter || NVIDIA (NVDA) RTX Ray Tracing to Transform Minecraft Worlds",2020-01-01,2020-12-31,36955,False,True,
re-evaluate,3,3,False,,3,3,Why You Must Re-evaluate Your Portfolio Now,2020-01-01,2020-12-31,36955,False,True,
re-evaluates,3,3,False,,2,2,"Dish Network cuts jobs, re-evaluates business in coronavirus fallout || Dish cuts jobs, re-evaluates business in coronavirus fallout",2020-01-01,2020-12-31,36955,False,True,
react,3,3,True,0.020000000000000004,3,2,Daily Markets: Coronavirus Escalation Forces Companies To React || Investors React to Coronavirus Vaccine News,2020-01-01,2020-12-31,36955,False,True,
reata,3,3,False,,3,2,"BUZZ-U.S. STOCKS ON THE MOVE-Amazon, Uber, Moderna, Reata Pharma",2020-01-01,2020-12-31,36955,False,True,
rebrand,3,3,False,,2,2,ViacomCBS to rebrand CBS All Access streaming service as 'Paramount+' || Sinclair to rebrand 21 Fox regional sports networks under Bally name,2020-01-01,2020-12-31,36955,False,True,
recertification,3,3,False,,1,1,Boeing Targets 737 Max Recertification Flight By Late June || Boeing 737 MAX Recertification Timeline Reportedly Slips Into October || Is Boeing Stock a Buy Following the 737 Max’ Recertification? Analyst Weighs In,2020-01-01,2020-12-31,36955,False,True,
recessions,3,3,False,,3,3,Investing in Recessions and the Latest News in the J.C. Penney Bankruptcy,2020-01-01,2020-12-31,36955,False,True,
reclaim,3,3,True,0.034999999999999996,3,2,Stock to Buy Advanced Micro Devices Ready to Reclaim the Throne || Comcast Stock Will Rally To Reclaim Previous Highs,2020-01-01,2020-12-31,36955,False,True,
reconstruct,3,3,True,0.034999999999999996,3,1,7 Industrial Stocks to Reconstruct Your Portfolio for 2021,2020-01-01,2020-12-31,36955,False,True,
redemption,3,3,True,0.045000000000000005,3,2,"U.S. Bank Announces Redemption of Senior Notes || American Tower Corporation Calls for Redemption All of Its Outstanding —.8……% Senior Notes || Wells Fargo Q1 EPS $0.010 May Not Compare To $0.360 Estimate, Sales $17.700B Miss $19.350B Estimate; EPS Included $(0.73)/Share Impact From Reserve Build And Impairment Of Securities And Mkt Conditions And $(0.06)/Share Impact From Pref. Stock Redemption",2020-01-01,2020-12-31,36955,False,True,
reed,3,3,False,,1,1,"Netflix Earnings: 3 Questions for CEO Reed Hastings || Hardy Reed LLC Buys Vanguard S&P 5……, Vanguard Total Stock Market, iShares Core S&P ... || Here's What Netflix CEO Reed Hastings Thinks About His Biggest Competition",2020-01-01,2020-12-31,36955,False,True,
reelection,3,3,False,,3,3,5 Value Stocks That Will Survive a Trump Reelection,2020-01-01,2020-12-31,36955,False,True,
reemerge,3,3,False,,3,3,Dow Jones Today: Stocks Scuffle as Familiar Headwinds Reemerge,2020-01-01,2020-12-31,36955,False,True,
refinances,3,3,False,,3,2,"Key Bankers' Group Predicts 2020 Surge in Mortgage Refinances || UPDATE: Morgan Stanley Downgrades Occidental Petroleum to Underweight As Firm Notes 'we see risk to OXY's investment grade rating and potentially higher interest expense as OXY refinances ~$11 B in maturities over the next three years.' || Splits, Shorts, and Refinances: What Investors Need to Know",2020-01-01,2020-12-31,36955,False,True,
refiner,3,3,False,,2,1,"New Zealand refiner to shrink, may convert to import terminal in face of competition || Top U.S. oil refiner Marathon Petroleum to lay off 12% of workforce",2020-01-01,2020-12-31,36955,False,True,
refineries,3,3,False,,1,1,EXCLUSIVE-Lack of financing for buyers may extend delay in Petrobras refineries bids- sources || Fuel demand shock threatens future of Australia's oil refineries || Australia to bring forward subsidy payment in push to keep refineries open,2020-01-01,2020-12-31,36955,False,True,
regular,3,3,True,0.010000000000000002,2,2,DuPont Declares Regular Quarterly Dividend on Common Stock || Gilead's $4.9 Bln Deal Shows Regular Death Goes On,2020-01-01,2020-12-31,36955,False,True,
regulations,3,3,False,,2,2,"California attorney general submits regulations for approval under privacy law || California posts final regulations under landmark digital privacy law impacting consumers, businesses || Dow Jones Loses Steam as Intel Stock Surges, Boeing Faces More Regulations",2020-01-01,2020-12-31,36955,False,True,
reign,3,3,False,,2,2,How Much Longer Can Netflix Reign King Of Streaming? || The Reign of Netflix Is Starting to Show Its Limitations,2020-01-01,2020-12-31,36955,False,True,
remark,3,3,True,0.0,2,1,"Remark Has the Tech to Combat Covid-19, But Is It a Buy? || Wells Fargo CEO apologizes for remark about diverse talent || Wells Fargo CEO apologizes for remark about lack of diverse talent",2020-01-01,2020-12-31,36955,False,True,
remdesivir',3,3,False,,1,1,"Gilead Sees Volume Spike As Traders Circulate German Website Suggesting Spokesperson For Federal Institute For Drugs And Medical Devices Confirmed 'Corona patients who are particularly seriously ill may...be treated with not yet approved remdesivir' || Gilead Says It Will Produce 1M Courses Of Coronavirus Experimental Drug 'Remdesivir' By December || UPDATE: Morgan Stanley Maintains Equal-Weight On Gilead Sciences, Raises Target To $77 Notes 'Base business stable, we continue to expect near-term updates on remdesivir'",2020-01-01,2020-12-31,36955,False,False,trailing hyphen or apostrophe; VADER token mismatch
remdesivir's,3,3,False,,1,1,"Coronavirus trial drug remdesivir's maker aims for wide distribution -Gilead CEO || What Does Remdesivir's Promising Study Mean for Gilead's Stock? || 'Gilead Drug Remdesivir's Use Against Coronavirus Could Become Obsolete, Analyst Says' -Barrons Report",2020-01-01,2020-12-31,36955,False,True,
removal,3,3,False,,3,2,Wells Fargo Requests Removal of Asset Cap || Occidental financing major CO2 removal plant in Texas || ExxonMobil Details Annual Business Plan; Announces Removal Of Less Strategic Assets,2020-01-01,2020-12-31,36955,False,True,
removed,3,3,False,,3,2,"Gilead Confirms Remdesivir Data Was Prematurely Posted, Says Has Been REmoved || Exxon Removed From the Dow After Nearly 100 Years: What It Means for Investors",2020-01-01,2020-12-31,36955,False,True,
renal,3,3,False,,2,1,Gilead Presents 96-Week DISCOVER Trial Data Demonstrating 'Favorable Renal and Bone Safety Profile of Descovy for HIV PrEP in At-Risk Populations' || Merck Reports Novel HIF-2a Inhibitor Showed Objective Response Rate Of Nearly 30% In Patients With von Hippel-Lindau Disease-Associated Clear Cell Renal Cell Carcinoma || Merck Yesterday Announced KEYTRUDA plus LENVIMA Combination Demonstrated Clinically Meaningful Tumor Response Rates in Unresectable Hepatocellular Carcinoma and Advanced Renal Cell Carcinoma,2020-01-01,2020-12-31,36955,False,True,
renew,3,3,True,0.034999999999999996,3,3,"ViacomCBS, Comcast Renew Content Carriage Agreement || Hasbro, Disney Renew Agreements For Marvel And Star Wars Franchises || American Airlines, Southwest post deep losses and renew calls for aid",2020-01-01,2020-12-31,36955,False,True,
rents,3,3,False,,3,1,"Realty Income (O) Q4 FFO & Revenues Top Estimates, Rents Up",2020-01-01,2020-12-31,36955,False,True,
reorganizes,3,3,False,,3,2,"Goldman Sachs Reorganizes Business Segments || Wells Fargo Reorganizes Reporting Lines, Creating Five Business Units; Consumer Lending Business To Separate From Consumer Banking || Walt Disney Reorganizes With a Greater Focus on Streaming Media",2020-01-01,2020-12-31,36955,False,True,
repay,3,3,True,0.020000000000000004,3,2,"PNM Resources (PNM) to Issue 5.4M Equity to Repay Debts || GE to prepay pensions, repay loan in latest debt reduction move",2020-01-01,2020-12-31,36955,False,True,
reph,3,3,False,,3,1,"Health Care Sector Update for 03/04/2020: JNJ, PFE, ABT, MRK, AMGN, MRNA, REPH, CNC, DRRX",2020-01-01,2020-12-31,36955,False,True,
replaces,3,3,False,,3,3,UPS Replaces Its CEO || Citi replaces Credit Suisse in WeDoctor's $1 bln Hong Kong IPO -sources || Dow Jones Rises Despite Civil Unrest; Walmart and Apple Close Stores Over Weekend; Microsoft Replaces Editors With AI,2020-01-01,2020-12-31,36955,False,True,
report',3,3,False,,3,2,"'AMD has sold more GPUs than Nvidia, according to this analyst report' -TechRadar || Starbucks Shares Spike 2+% On Volume; Hearing Josh Brown On CNBC's 'Fast Money: Halftime Report' Suggested Stock As Play On 'Affordable Luxury'",2020-01-01,2020-12-31,36955,False,False,trailing hyphen or apostrophe; VADER token mismatch
report-plastic,3,3,False,,3,2,SPECIAL REPORT-Plastic pandemic: COVID-19 trashed the recycling dream,2020-01-01,2020-12-31,36955,False,True,
report-trump,3,3,False,,3,1,SPECIAL REPORT-Trump told Saudis: Cut oil supply or lose U.S. military support - sources,2020-01-01,2020-12-31,36955,False,True,
resembles,3,3,False,,3,2,Why Exxon Mobil Stock Resembles a Tobacco Play Now,2020-01-01,2020-12-31,36955,False,True,
reserves,3,3,False,,3,1,Dow Jones News: Goldman Sachs Builds Reserves; UnitedHealth Keeps Guidance || Did U.S. Bank Beat Estimates Because Its Loss Reserves Were Too Low? || Italian court reserves decision over Vivendi stake in Mediaset,2020-01-01,2020-12-31,36955,False,True,
resistance,3,3,True,-0.015,2,2,"Stocks Are Ready To Rally On February 4, As Key Resistance Approaches || T-Mobile Shares Up ~0.9% Since Breaking Above $80 Resistance Level; Shares Up 1.6% For Session || S&P 500 Slides More After Hitting Resistance At This Key Level; Nasdaq Off 3.5%",2020-01-01,2020-12-31,36955,False,True,
resource-sharing,3,3,False,,1,1,"EXCLUSIVE-Exxon and Total in talks over Mozambique LNG resource-sharing deal - sources || Mozambique unaware of Exxon, Total talks on LNG resource-sharing deal",2020-01-01,2020-12-31,36955,False,True,
responders,3,3,False,,2,1,"Starbucks Giving Free Coffee to First Responders, Medical Workers || Walmart Adds Seniors, First Responders to Online Shopping Preference List || Walmart Launches Curbside Pickup Hour For Senior Customers, First Responders",2020-01-01,2020-12-31,36955,False,True,
restructures,3,3,False,,3,2,BP Restructures Sale Agreement on Alaska Business || Walt Disney restructures entertainment businesses to boost streaming,2020-01-01,2020-12-31,36955,False,True,
resurge,3,3,True,0.05500000000000001,3,3,US STOCKS-Wall Street ends sharply lower as pandemic fears resurge,2020-01-01,2020-12-31,36955,False,True,
retain,3,3,True,0.03,3,3,Why You Should Retain Air Products (APD) in Your Portfolio || EA to retain Madden NFL rights in renewed deal || Amazon to Retain Many of the Employees it Hired During the Pandemic,2020-01-01,2020-12-31,36955,False,True,
retaliate,3,3,True,-0.04000000000000001,2,2,"UPDATE: 3M Points Out Ceasing Export Of Respirators 'would likely cause other countries to retaliate and do the same, as some have already done,' Says Net Number Of Respirators Available To US Would Decrease || Canada PM says will not retaliate against U.S. over block of mask exports || Qualcomm shares are trading lower on reports the company is among those China could retaliate against after the US announced it will block chip shipments to Huawei.",2020-01-01,2020-12-31,36955,False,True,
retires,3,3,False,,2,2,Hedge fund Elliott's equity partner Kasoff retires -letter || British Airways retires entire fleet of Boeing's jumbo jets || End of the jumbo: British Airways retires 747 fleet early on coronavirus woes,2020-01-01,2020-12-31,36955,False,True,
revamp,3,3,True,0.05,3,2,"Facebook's Libra cryptocurrency gets revamp in response to backlash || FOCUS-Delta doubles cabin cleaners in 'pit stop' revamp, buys kits to test for germs || INTERVIEW-Soccer-Barca stadium revamp urgently needed due to financial hit, says vice-president",2020-01-01,2020-12-31,36955,False,True,
revisiting,3,3,False,,3,3,Revisiting The Fed's Balance Sheet || Revisiting The Coronavirus Vaccine Race: Updates On The 10 Candidates In Clinics || Revisiting Boeing Stock’s Long Term Outlook,2020-01-01,2020-12-31,36955,False,True,
revives,3,3,True,1.6,3,2,"EXCLUSIVE-Exxon revives sale of stake in giant Azeri oilfield || FOCUS-Uniqlo revives Jil Sander tie-up in post-pandemic, upmarket push",2020-01-01,2020-12-31,36955,False,True,
revlon,3,3,False,,3,3,"BUZZ-U.S. STOCKS ON THE MOVE-Aurora Cannabis, AngloGold Ashanti, Revlon, Hexcel, Dolby Laboratories || BUZZ-U.S. STOCKS ON THE MOVE-Shift, Nio, InMed, Revlon, Disney, Cisco",2020-01-01,2020-12-31,36955,False,True,
revokes,3,3,False,,2,2,"First Majestic Revokes '20 Guidance on Coronavirus Concerns || Brazil antitrust agency revokes decision blocking WhatsApp, Cielo venture || Ethiopia revokes licences of 63 mining companies - minister",2020-01-01,2020-12-31,36955,False,True,
rewarding,3,3,True,1.5,3,2,"Betting on BP Stock Is Risky, but Potentially Rewarding || While It’s Lost Some Luster, AMD Stock is Still Rewarding Investors",2020-01-01,2020-12-31,36955,False,True,
rex,3,3,False,,2,2,"BUZZ-U.S. STOCKS ON THE MOVE-Dick's Sporting Goods, Zoom Video Communications, REX American Resources || Australia's Rex signs deals to lease six 737 planes for planned Sydney-Melbourne route || ANALYSIS-'Poking the bear': Regional airline Rex using downturn to challenge Qantas, Virgin",2020-01-01,2020-12-31,36955,False,True,
riches,3,3,True,2.4,3,3,Breakingviews - Arm M&A offers SoftBank a tricky route to riches || FOCUS-Chevron bets on Middle East gas riches and reconciliation || Amazon's Smart Speaker Dominance Could Unlock E-Commerce Riches in India,2020-01-01,2020-12-31,36955,False,True,
rift,3,3,False,,3,2,ANALYSIS-Coronavirus widens climate rift between European and U.S. oil majors || EXCLUSIVE-Brazil's Embraer draws foreign interest after Boeing rift -sources,2020-01-01,2020-12-31,36955,False,True,
rigel,3,3,False,,3,2,"BUZZ-U.S. STOCKS ON THE MOVE-General Electric, Dave & Buster's Entertainment, Rigel Pharma, NuCana Plc",2020-01-01,2020-12-31,36955,False,True,
rigged,3,3,True,-1.5,3,1,Lawsuit claims 10 big banks rigged market for 'odd-lot' U.S. corporate bonds,2020-01-01,2020-12-31,36955,False,True,
rily,3,3,False,,2,1,"Financial Sector Update for 02/24/2020: RILY,EPRT,HR,USB,SAN || Financial Sector Update for 06/16/2020: RILY,SPOK,GS,MFA || Financial Sector Update for 06/16/2020: STOR,RILY,SPOK,GS,MFA",2020-01-01,2020-12-31,36955,False,True,
rip,3,3,True,-0.04000000000000001,2,2,Top Financial Blogger: These 3 Stocks Can Rip Higher in 2020 || RIP to the Longest Bull Market in History (2009-2020),2020-01-01,2020-12-31,36955,False,True,
ripped,3,3,False,,3,2,"Why Boeing, ConocoPhillips, and Phillips 66 Shares Ripped Higher on Monday || Why General Electric Stock Ripped Higher This Morning",2020-01-01,2020-12-31,36955,False,True,
risk-free,3,3,False,,3,1,"Qualcomm Stock Could Hit $100, But It Isn’t Risk-Free",2020-01-01,2020-12-31,36955,False,True,
river,3,3,False,,3,2,"River Wealth Advisors LLC Buys Vanguard FTSE All World Ex US, iShares Russell —………, ... || Pearl River Capital, LLC Buys American Electric Power Co Inc, Goldman Sachs Group Inc, ... || Boeing, Salt River Project Ink Renewable Energy Deal For Mesa Site",2020-01-01,2020-12-31,36955,False,True,
rmbl,3,3,False,,3,1,"Consumer Sector Update for 01/10/2020: WMT, MCD, DIS, CVS, KO, SPWH, RMBL, URBN",2020-01-01,2020-12-31,36955,False,True,
roadblock,3,3,False,,3,2,Boeing-Embraer deal hits new roadblock as deadline nears -sources || Is Gilead Sciences a Buy After Its Most Recent Roadblock?,2020-01-01,2020-12-31,36955,False,True,
roberts,3,3,False,,2,2,"Roberts Glore & Co Inc Buys Berkshire Hathaway Inc, Berkshire Hathaway Inc, iShares ... || Nelson Roberts Investment Advisors, LLC Buys Apple Inc, GlaxoSmithKline PLC, DocuSign Inc, ...",2020-01-01,2020-12-31,36955,False,True,
robocalls,3,3,False,,2,1,"FTC Has Warned Phone Cos. Against Assisting Robocalls, Sent Letters To 19 Unnamed Internet-Based Providers || Sprint, T-Mobile, and Comcast Collaborate to Stop Robocalls",2020-01-01,2020-12-31,36955,False,True,
rockefeller,3,3,False,,2,2,Gilead Sciences Licenses Portfolio Of HIV Antibodies From Rockefeller || Gilead Sciences Licenses Portfolio Of HIV Antibodies From The Rockefeller University || This Day In Market History: Rockefeller Founds Standard Oil,2020-01-01,2020-12-31,36955,False,True,
rogers,3,3,False,,3,3,"Rubicon, Rogers, Lam Research, Applied Materials and Intel as Zacks Bull and Bear of the Day || Ariel Chairman John Rogers Thinks Current Market Is 'Once In A Lifetime Opportunity To Buy Stocks' || Rogers pulls 2020 outlook, misses estimates as coronavirus crisis deepens",2020-01-01,2020-12-31,36955,False,True,
roil,3,3,False,,2,1,"Geopolitics Continues to Roil the Fortunes of Qualcomm Stock || New U.S. sanctions to slam Huawei, further roil tech supply",2020-01-01,2020-12-31,36955,False,True,
roost,3,3,True,-0.045000000000000005,3,3,"""Stay at Home"" Stocks Still Rule the Roost as Nvidia, Microsoft, Apple Start Week Firmly",2020-01-01,2020-12-31,36955,False,True,
rosenbaum,3,3,False,,3,3,"Rosenbaum Jay D. Buys NextEra Energy Inc, American Tower Corp, Sells Amgen Inc, 'M Co, ...",2020-01-01,2020-12-31,36955,False,True,
roster,3,3,False,,3,3,"Tech Stocks' Apr 28 Earnings Roster: GOOGL, PAYC, AKAM, MSCI || Biotech Stocks Earnings Roster for Apr 30: AMGN, GILD & More || Utility Stock Earnings Roster for May 6: AEP, NI & More",2020-01-01,2020-12-31,36955,False,True,
rotation,3,3,False,,3,3,Two Themes for Investing in the Risk Rotation || 7 Value Stocks Ready for Rotation,2020-01-01,2020-12-31,36955,False,True,
roughly,3,3,True,-0.010000000000000002,3,3,"Shares of several industrial companies are trading higher in sympathy with the overall market on a continued rebound after increased fear of the Wuhan coronavirus' impact on the economy dropped the Dow roughly 600 points on Friday. || Shares of several financial services companies are trading higher in sympathy with the overall market on a continued rebound after increased fear of the Wuhan coronavirus' impact on the economy dropped the Dow roughly 600 points on Friday. || Occidental Taps Moelis For Balance Sheet Review, Seeks To Lessen Roughly $40B Debt Load, Consider Bond Buybacks, Exchange Offer",2020-01-01,2020-12-31,36955,False,True,
route,3,3,True,0.0,3,3,Breakingviews - Arm M&A offers SoftBank a tricky route to riches || Australia's Rex signs deals to lease six 737 planes for planned Sydney-Melbourne route || Next crop of COVID-19 vaccine developers take more traditional route,2020-01-01,2020-12-31,36955,False,True,
rpg,3,3,False,,3,3,"SPYV, RPG: Big ETF Outflows || Peek Under The Hood: RPG Has 13% Upside || RPG Investment Advisory, LLC Buys Microsoft Corp, Target Corp, The Kraft Heinz Co, Sells Square ...",2020-01-01,2020-12-31,36955,False,True,
rpv,3,3,False,,3,3,Friday's ETF with Unusual Volume: RPV || Tuesday's ETF with Unusual Volume: RPV || The Math Shows RPV Can Go To $59,2020-01-01,2020-12-31,36955,False,True,
rsa,3,3,False,,2,1,Dell Is Expected To Announce RSA Security Business Sale On Tuesday || British insurer RSA agrees $9.6 bln takeover by overseas rivals,2020-01-01,2020-12-31,36955,False,True,
rsi,3,3,False,,3,3,RSI Alert: US Bancorp Now Oversold || RSI Alert: Nucor Now Oversold || RSI Alert: Dominion Energy (D) Now Oversold,2020-01-01,2020-12-31,36955,False,True,
rtix,3,3,False,,3,1,"Health Care Sector Update for 01/14/2020: JNJ, PFE, ABT, MRK, AMGN, RTIX, TRXC, MREO || Health Care Sector Update for 04/09/2020: BIOC,BHC,BHC.TO,RTIX,GILD",2020-01-01,2020-12-31,36955,False,True,
ruffles,3,3,False,,3,3,EXCLUSIVE-Wells Fargo CEO ruffles feathers with comments about diverse talent,2020-01-01,2020-12-31,36955,False,True,
ruled,3,3,False,,3,3,"United States Court Of Appeals For Federal Circuit Has Ruled In Favor Of Co In Its Ongoing Dispute With Comcast || Embraer and Boeing's $4.2 bln deal ruled out pandemic as pretext to cancel || Visa Exists in a Payments World No Longer Ruled by Banks, Only Fintechs",2020-01-01,2020-12-31,36955,False,True,
rural,3,3,False,,3,3,"Thousands of Rural Virginians Could Get Broadband Access through Dominion Energy, Prince George ... || INSIGHT-U.S. shale bust slams rural economies as oil checks shrivel || FOCUS-Crimped U.S. dry ice supply complicates rural U.S. vaccine release",2020-01-01,2020-12-31,36955,False,True,
